track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20060013,decay,118.40365041715712,7.0,4.698557556236393,Total,Total
20060013,incipient,96.71571314134783,7.0,3.83792512465666,Total,Total
20060013,intensification,407.318845807746,24.0,4.714338493145209,Total,Total
20060014,incipient,139.89254573061106,7.0,5.551291497246471,Total,Total
20060014,intensification,647.8682679435735,17.0,10.586082809535515,Total,Total
20060015,decay,627.3484941769665,19.0,9.171761610774364,Total,Total
20060015,incipient,551.9221696794658,12.0,12.775976149987637,Total,Total
20060015,intensification,4157.752805034194,64.0,18.04580210518313,Total,Total
20060015,mature,492.3807097133062,10.0,13.677241936480728,Total,Total
20060016,decay,2954.867276509026,36.0,22.799901824915327,Total,Total
20060016,incipient,622.7616131738695,11.0,15.726303362976504,Total,Total
20060016,intensification,1749.9048787106742,61.0,7.968601451323653,Total,Total
