track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20040056,mature,219.79999925143645,13.0,4.696581180586249,Total,Total
20040057,intensification,1120.742663815839,26.0,11.973746408288878,Total,Total
20040058,decay,2868.997027892558,55.0,14.489883979255342,Total,Total
20040058,intensification,2073.939293926659,25.0,23.043769932518437,Total,Total
20040058,intensification 2,168.09249608981247,5.0,9.338472004989582,Total,Total
20040058,mature,1012.2834116896752,13.0,21.629987429266563,Total,Total
20040059,decay,1170.1069646745077,11.0,29.54815567359868,Total,Total
20040059,intensification,3102.528456193688,22.0,39.17333909335465,Total,Total
20040059,mature,1455.1212571417277,13.0,31.092334554310423,Total,Total
20040060,decay,714.5952599177919,8.0,24.812335413812217,Total,Total
20040060,intensification,225.20935204260135,4.0,15.639538336291764,Total,Total
20040060,mature,849.412199476775,13.0,18.14983332215331,Total,Total
20040061,decay,626.6037490660784,30.0,5.801886565426652,Total,Total
20040061,intensification,119.98971107261156,1.0,33.33047529794766,Total,Total
20040061,mature,367.3699820934931,13.0,7.849785942168656,Total,Total
20040062,decay,2430.042640519281,22.0,30.682356572213145,Total,Total
20040062,mature,703.8149558010701,6.0,32.58402573153103,Total,Total
20040063,decay,1544.7990625182442,55.0,7.80201546726386,Total,Total
20040063,decay 2,1941.3276523045572,29.0,18.5950924550245,Total,Total
20040063,intensification 2,1696.898427977761,66.0,7.1418284005798025,Total,Total
20040063,mature,60.47247288924957,1.0,16.79790913590266,Total,Total
20040063,mature 2,732.1802244515181,16.0,12.71146223006108,Total,Total
20040064,decay,2251.517095170606,29.0,21.566255700867877,Total,Total
20040065,decay,4287.800372960659,42.0,28.358468075136635,Total,Total
20040066,decay,3042.3550687347674,39.0,21.669195646259027,Total,Total
20040066,decay 2,1161.9577964581233,13.0,24.828158043976995,Total,Total
20040066,intensification 2,4142.610076211093,66.0,17.43522759348103,Total,Total
20040066,mature 2,1161.352056026868,16.0,20.162362083799792,Total,Total
20040067,decay,489.8378622581696,8.0,17.008259106186443,Total,Total
20040067,intensification 2,2900.253113569273,66.0,12.206452498187176,Total,Total
20040068,decay,829.9282236792509,14.0,16.46682983490577,Total,Total
20040068,decay 2,2955.3213816620914,41.0,20.02250258578653,Total,Total
20040068,incipient,49.88517207771425,2.0,6.928496121904757,Total,Total
20040068,intensification,294.4574145676877,9.0,9.088191807644684,Total,Total
20040068,intensification 2,6879.393838409542,59.0,32.38885987951762,Total,Total
20040068,mature,580.0331951637623,9.0,17.902259109992666,Total,Total
20040068,mature 2,1561.2090722424234,16.0,27.104324170875408,Total,Total
20040068,residual,1045.2799421643351,15.0,19.357035966006208,Total,Total
20040069,decay 2,1154.697085080873,17.0,18.86759942942603,Total,Total
20040069,intensification 2,3233.4186469368688,54.0,16.63281196983986,Total,Total
