,track_id,phase,Total Time (h),Mean Speed (m/s)_x,Mean Speed (m/s)_y,Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km)
43,20160293,mature,6.0,24.481985609558397,24.481985609558397,528.8108891664614,2.714885,-4.6806,458.89757531297084
44,20160294,decay,19.0,4.724319565933463,4.724319565933463,323.1434583098489,1.4313147368421053,-0.13056000000000015,286.7182482708916
45,20160294,intensification,18.0,3.384213562742454,3.384213562742454,219.29703886571102,1.2409157894736842,-0.16367999999999996,77.80372258196289
46,20160294,mature,22.0,3.600478584973466,3.600478584973466,285.1579039298985,1.3390840909090909,0.24170181818181816,233.82052928535293
47,20160295,decay,11.0,20.380715422511237,20.380715422511237,807.076330731445,3.2363209090909093,-3.694538181818183,573.1625084988831
48,20160295,intensification,16.0,21.910054707114615,21.910054707114615,1262.0191511298017,3.8398564705882348,0.4987199999999991,1223.7190246328719
49,20160295,mature,22.0,17.119381857706358,17.119381857706358,1355.8550431303433,4.2989359090909085,-0.17534181818181727,1286.0576911505773
50,20160298,decay,70.0,20.355971845853006,20.355971845853006,5129.7049051549575,4.748275285714286,-1.0190331428571429,3689.161734541052
51,20160298,mature,5.0,25.35349721560257,25.35349721560257,456.36294988084626,5.635323333333333,2.536223999999997,456.3365060712573
52,20160300,decay,44.0,12.612611701851513,12.612611701851513,1997.83769357328,2.1762853333333334,-0.17547818181818184,1639.4674304321588
53,20160301,decay,40.0,8.874996385678893,8.874996385678893,1277.9994795377604,2.2167470731707315,-1.131654,1025.231197709672
54,20160305,decay,48.0,19.652793274021175,19.652793274021175,3396.002677750859,6.039633265306122,2.34981,5029.79477935139
55,20160305,incipient,13.0,9.470592671151216,9.470592671151216,443.2237370098769,9.196895384615384,-0.8517969230769226,409.8411658448349
56,20160305,intensification,32.0,7.797462980689333,7.797462980689333,898.2677353754111,8.321285625,-1.3118775000000003,1271.1531846987164
57,20160305,mature,16.0,11.372328049503789,11.372328049503789,655.0460956514182,8.151814375,-1.4331300000000002,2014.7396065338412
58,20160307,decay,16.0,15.619886767594801,15.619886767594801,899.7054778134606,4.3377341176470585,-4.385115,3795.4481420840693
59,20160307,incipient,13.0,25.229424425796044,25.229424425796044,1180.7370631272547,3.6838684615384616,3.9974215384615386,1069.7631027922816
60,20160307,intensification,32.0,21.61531968845949,21.61531968845949,2490.084828110533,5.619128125,1.8297974999999997,3005.138730226399
61,20160307,mature,6.0,13.022080148612277,13.022080148612277,281.2769312100252,6.125641666666667,-1.9175199999999997,226.40070756192816
62,20160308,decay,28.0,26.85076982199352,26.85076982199352,2706.557598056947,1.9511450000000001,0.42833999999999983,2577.3054609836313
63,20160308,decay 2,20.0,21.321627761037156,21.321627761037156,1535.1571987946752,1.8628624999999999,-1.1837039999999999,1420.2953384042264
64,20160308,incipient,13.0,13.759939496013363,13.759939496013363,643.9651684134254,2.0946984615384614,1.0357661538461538,551.794371121937
65,20160308,intensification,31.0,15.267426515320137,15.267426515320137,1703.8447991097273,1.9699346875,-0.626934193548387,2243.350626329357
66,20160308,mature,6.0,19.566324767416635,19.566324767416635,422.63261497619925,1.61911,-0.7669600000000001,349.90613671162856
67,20160309,incipient,13.0,10.874692392168175,10.874692392168175,508.9356039534706,3.365393846153846,-0.9835200000000002,434.80057094024204
68,20160309,intensification,13.0,13.248374995551076,13.248374995551076,620.0239497917903,2.9305314285714283,-1.5465230769230767,1059.4280433906868
69,20160311,decay,28.0,15.202645274505954,15.202645274505954,1532.4266436702,1.6525003571428571,-1.0143857142857142,1406.8590663861942
70,20160311,incipient,12.0,9.726596411915818,9.726596411915818,420.18896499476335,1.7889223076923078,0.7332200000000002,324.31970201576956
71,20160311,intensification,27.0,10.034744208089299,10.034744208089299,975.3771370262798,1.9399855555555556,0.35449777777777786,488.65999543647774
72,20160311,mature,6.0,8.04171132297653,8.04171132297653,173.70096457629307,2.323215,-0.4346000000000016,128.79955587413716
73,20160313,decay,28.0,2.7511603004132548,2.7511603004132548,277.31695828165607,2.340334642857143,-0.03010285714285713,162.8488244350389
74,20160313,decay 2,4.0,3.3851889223307605,3.3851889223307605,48.74672048156295,1.715015,-1.5216600000000007,34.57893558617071
75,20160313,intensification,23.0,6.312258031493435,6.312258031493435,522.6549650076565,1.4805287500000002,0.37961739130434774,244.24216326414793
76,20160313,mature,6.0,6.64099463829326,6.64099463829326,143.4454841871344,1.7633166666666666,1.3323600000000004,123.72826645936405
77,20160314,decay,28.0,6.967642389980669,6.967642389980669,702.3383529100514,1.4045510714285714,-0.12415714285714283,338.07793961699724
78,20160314,decay 2,2.0,19.120228848094307,19.120228848094307,137.665647706279,1.30046,-1.1167200000000017,83.54472038771648
79,20160314,intensification,19.0,7.0380393489592805,7.0380393489592805,481.4018914688148,2.1097565,0.9475326315789473,475.61680255673576
80,20160314,mature,6.0,4.026621890524198,4.026621890524198,86.97503283532266,1.6366433333333334,-1.8152400000000002,47.29961724091
81,20160315,decay,38.0,13.349964413902526,13.349964413902526,1826.275131821866,6.279087368421052,0.9603599999999995,2700.2146439976386
82,20160315,decay 2,20.0,13.333151604751592,13.333151604751592,959.9869155421146,6.80209,1.1939520000000008,894.8372043436844
83,20160315,incipient,3.0,11.001833508624657,11.001833508624657,118.81980189314629,7.3245700000000005,-1.5169599999999974,82.891326987444
84,20160315,intensification,36.0,10.299409766030353,10.299409766030353,1334.8035056775336,4.7122310810810815,-2.3342533333333337,4337.591784272298
85,20160315,mature,6.0,12.600714506835454,12.600714506835454,272.1754333476458,4.31985,5.24356,229.41463680990967
86,20160316,decay,16.0,6.358620625635869,6.358620625635869,366.25654803662604,1.8688611764705882,0.08107500000000023,416.3967141473446
87,20160316,decay 2,20.0,3.2764038972959852,3.2764038972959852,235.9010806053109,1.777658,0.176352,120.3728961035097
88,20160316,incipient,3.0,5.116875585197328,5.116875585197328,55.26225632013115,2.0153966666666663,-1.3919200000000025,30.509261802414915
89,20160316,intensification,20.0,4.52129378801545,4.52129378801545,325.5331527371124,1.381699,-0.9942359999999999,194.23959925902022
90,20160317,decay,10.0,25.969522613702896,25.969522613702896,934.9028140933042,4.854801,0.6100079999999984,868.5201311936733
91,20160317,decay 2,12.0,16.008967179715142,16.008967179715142,691.5873821636941,4.235863846153846,3.449520000000001,682.6233373110178
92,20160317,incipient,23.0,11.858466830749943,11.858466830749943,981.8810535860953,5.903883913043479,-1.807450434782608,2346.951913657841
93,20160317,intensification,76.0,8.327793965622558,8.327793965622558,2278.484428994332,7.77258197368421,0.32311263157894726,2234.53259526932
94,20160318,decay,10.0,6.750070040474149,6.750070040474149,243.00252145706938,1.393945,0.23541600000000001,28.746087536161408
95,20160318,decay 2,2.0,3.289058776003,3.289058776003,23.6812231872216,1.2813800000000002,1.2558000000000016,16.858663746313333
96,20160318,incipient,22.0,10.564867579961565,10.564867579961565,836.7375123329559,1.849604090909091,-0.8516072727272731,1079.5359250820632
