,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
127,19800216,mature,8.0,5.996013571326901,172.68519085421474,8.706985,-2.8030500000000007,136.4808229311002,MAM,SE-SAO
128,19800217,decay,20.0,14.393161329092075,1036.3076156946295,6.1872115,-3.7394279999999993,999.0486065815144,MAM,WEDDELL
129,19800217,incipient,6.0,13.607001586834015,293.91123427561473,2.844684285714286,3.648480000000001,248.0139638349968,MAM,WEDDELL
130,19800217,intensification,31.0,9.346642702720633,1043.0853256236226,5.5267248387096775,2.948686451612903,953.2093165489775,MAM,WEDDELL
131,19800217,mature,8.0,6.326085608995195,182.1912655390616,7.62077375,1.8650700000000002,148.25938093189288,MAM,WEDDELL
132,19800218,incipient,4.0,6.789843758203718,97.77375011813353,4.399966,0.04673999999999934,48.42844446239425,MAM,AT-PEN
133,19800218,intensification,23.0,10.385967051877905,859.9580718954905,3.75922347826087,-1.5083165217391308,808.3188627615872,MAM,AT-PEN
134,19800219,decay,42.0,18.89650194552584,2857.1510941635074,5.13966238095238,1.1959371428571428,2198.2621527081083,MAM,SAt
135,19800219,incipient,4.0,10.550138134899289,151.92198914254976,5.655435,0.3101999999999965,491.2013051668116,MAM,SAt
136,19800219,intensification,7.0,11.33480887069183,285.6371835414341,5.504542857142857,-3.110297142857142,197.69632276189748,MAM,SAt
137,19800219,mature,9.0,21.171773191955573,685.9654514193605,3.8165279999999995,0.7150133333333338,2175.011086534156,MAM,SAt
138,19800220,decay,29.0,6.2671540611341525,654.2908839824055,10.349125172413794,-6.155900689655172,542.0135777038658,MAM,SAt
139,19800220,incipient,3.0,10.251468450294587,110.71585926318154,4.879203333333333,-10.679760000000002,95.05538334201039,MAM,SAt
140,19800220,intensification,6.0,25.933455566207176,560.162640230075,3.444388333333334,-4.325479999999999,508.39542933671595,MAM,SAt
141,19800220,mature,3.0,21.47762963227485,231.9584000285684,12.63091,8.046000000000006,232.5027302953185,MAM,SAt
142,19800221,decay,81.0,14.809483634235884,4318.445427743184,4.2690583950617285,1.176714074074074,8298.990483187701,MAM,ARG
143,19800221,decay 2,11.0,14.876618537513782,589.1140940855457,5.799144545454546,-0.5877163636363624,518.0483465773436,MAM,ARG
144,19800221,incipient,15.0,15.826619105250698,854.6374316835377,5.915050666666667,0.897791999999999,6922.319063488773,MAM,ARG
145,19800221,intensification,65.0,15.1608758537663,3547.6449497813137,6.586284,-0.3963433846153849,7284.3922331627045,MAM,ARG
146,19800221,intensification 2,10.0,22.97102338199354,826.9568417517675,6.236041999999999,-1.0468559999999996,760.0959644493206,MAM,ARG
147,19800221,mature,15.0,13.92500212820075,751.9501149228405,4.441078125,0.2705760000000012,8030.484531544907,MAM,ARG
148,19800221,mature 2,3.0,25.66004904011616,277.1285296332545,5.991046666666667,-0.6996800000000007,169.0728165227808,MAM,ARG
149,19800221,residual,2.0,18.46667860066605,132.96008592479558,6.83891,4.285080000000004,66.1749562034898,MAM,ARG
150,19800222,decay,38.0,16.745969286225066,2290.8485983555893,3.0164633333333333,1.049823157894737,3008.318759208935,MAM,SAt
151,19800222,incipient,4.0,24.969886597365807,359.56636700206764,3.4273225,0.17340000000000091,1779.8718803271418,MAM,SAt
152,19800222,intensification,7.0,21.195719473800153,534.1321307397639,3.0703442857142855,0.8726400000000011,324.0841121749647,MAM,SAt
153,19800222,mature,3.0,19.516650529844757,210.77982572232338,3.3241633333333334,0.7821599999999975,147.4950103625105,MAM,SAt
154,19800223,decay,28.0,7.362482256806914,742.138211486137,2.6455203448275864,0.5229085714285716,342.55301405561823,MAM,SA-NAM
155,19800223,incipient,8.0,12.204054760924747,351.47677711463274,2.4423125,-2.3625600000000007,218.13170929379766,MAM,SA-NAM
156,19800223,intensification,14.0,15.760170149438443,794.3125755316976,2.3608178571428575,0.6001885714285713,429.80529941713826,MAM,SA-NAM
157,19800223,mature,3.0,2.95841835732249,31.95091825908289,2.8559566666666663,-0.7720799999999991,19.442544376888407,MAM,SA-NAM
158,19800226,decay,13.0,18.138374486490036,848.8759259677337,4.8566238461538465,-2.6404061538461527,764.1428536249381,MAM,SAt
159,19800226,incipient,3.0,26.12825069465511,282.1851075022752,4.763535,0.7601599999999991,1785.1359497537103,MAM,SAt
160,19800226,intensification,7.0,24.054979074315487,606.1854726727502,5.339871428571429,2.1220457142857136,457.5239957509906,MAM,SAt
161,19800226,mature,3.0,21.95097217379148,237.07049947694793,5.700456666666667,0.7700800000000001,152.7674957515076,MAM,SAt
162,19800230,decay,10.0,6.121618522223893,220.37826680006017,8.268629,0.6936959999999978,167.31052090912954,MAM,SAt
163,19800230,incipient,9.0,6.3400300683282484,205.41697421383523,5.910847,-1.6642133333333327,922.703701567122,MAM,SAt
164,19800230,intensification,42.0,7.84679680967764,1186.4356776232592,5.333299761904762,-1.2313542857142858,719.3955783091243,MAM,SAt
165,19800230,mature,3.0,11.752245571561934,126.92425217286886,7.712296666666667,7.408320000000003,79.52859434189894,MAM,SAt
166,19800230,residual,2.0,3.831408733440332,27.586142880770392,8.08319,-3.10667999999999,13.986412164087035,MAM,SAt
167,19800231,decay,40.0,10.157292071253835,1462.6500582605522,3.5907831707317075,-1.4637659999999997,1442.842649651647,MAM,AT-PEN
168,19800231,decay 2,11.0,7.905948397530616,313.0755565422124,2.5939318181818183,-1.0956654545454538,228.65800659740313,MAM,AT-PEN
169,19800231,incipient,7.0,5.4941181295148445,138.45177686377406,3.124837142857143,1.6743771428571417,999.0863303033015,MAM,AT-PEN
170,19800231,intensification,49.0,6.722497358519275,1185.8485340428,3.853583673469388,1.682404897959184,1038.1923607890683,MAM,AT-PEN
171,19800231,intensification 2,10.0,5.825378225314822,209.71361611133358,3.3734319999999998,-0.9196560000000009,179.62917287664226,MAM,AT-PEN
172,19800231,mature,7.0,8.985417295632985,226.43251584995122,4.574384285714286,1.8969600000000002,752.1644868629436,MAM,AT-PEN
173,19800231,mature 2,3.0,6.5669227759085365,70.9227659798122,3.01686,-2.2592,46.67026427910501,MAM,AT-PEN
174,19800231,residual,16.0,5.429517158646215,312.740188338022,2.015156875,-2.5863300000000002,1766.7020225973006,MAM,AT-PEN
175,19800232,decay,19.0,15.611098788661662,1067.7991571444577,2.1522145000000004,-0.6182778947368419,3381.2397216210024,MAM,ARG
176,19800232,incipient,6.0,14.763868295460812,318.89955518195353,1.6180133333333335,1.6429999999999998,1418.2840428805955,MAM,ARG
177,19800232,intensification,35.0,14.460183914395682,1821.9831732138557,2.1516319999999998,0.8145462857142859,1765.915586560059,MAM,ARG
178,19800232,mature,4.0,24.47763489613918,352.4779425044042,2.833795,-0.20616000000000229,277.57025923908856,MAM,ARG
179,19800232,residual,2.0,13.495392785410857,97.16682805495817,1.2386949999999999,-0.9325199999999993,49.75151656987132,MAM,ARG
